arch,dataset,condition,seed,acc
swin_t,JAMBI,COLOR,1,63.3
swin_t,JAMBI,COLOR,2,81.6
swin_t,JAMBI,COLOR,3,73.5
swin_t,JAMBI,COLOR,4,85.7
swin_t,JAMBI,GRAY,0,73.5
swin_t,JAMBI,GRAY,1,69.4
swin_t,JAMBI,GRAY,2,79.6
swin_t,JAMBI,GRAY,3,83.7
swin_t,JAMBI,GRAY,4,79.6
swin_t,JAMBI,BLUR,0,65.3
swin_t,JAMBI,BLUR,1,57.1
swin_t,JAMBI,BLUR,2,59.2
swin_t,JAMBI,BLUR,3,55.1
swin_t,JAMBI,BLUR,4,57.1
swin_t,JAMBI,SHUFFLE,0,69.4
swin_t,JAMBI,SHUFFLE,1,71.4
swin_t,JAMBI,SHUFFLE,2,77.6
swin_t,JAMBI,SHUFFLE,3,75.5
swin_t,JAMBI,SHUFFLE,4,69.4
swin_t,DION_STRICT,COLOR,0,48.0
swin_t,DION_STRICT,COLOR,1,45.5
swin_t,DION_STRICT,COLOR,2,49.5
swin_t,DION_STRICT,COLOR,3,51.5
swin_t,DION_STRICT,COLOR,4,50.5
swin_t,DION_STRICT,GRAY,0,44.0
swin_t,DION_STRICT,GRAY,1,45.0
swin_t,DION_STRICT,GRAY,2,47.0
swin_t,DION_STRICT,GRAY,3,47.5
swin_t,DION_STRICT,GRAY,4,45.0
swin_t,DION_STRICT,BLUR,0,35.5
swin_t,DION_STRICT,BLUR,1,34.5
swin_t,DION_STRICT,BLUR,2,36.5
swin_t,DION_STRICT,BLUR,3,35.5
swin_t,DION_STRICT,BLUR,4,37.5
swin_t,DION_STRICT,SHUFFLE,0,40.0
swin_t,DION_STRICT,SHUFFLE,1,43.0
swin_t,DION_STRICT,SHUFFLE,2,45.5
swin_t,DION_STRICT,SHUFFLE,3,46.0
swin_t,DION_STRICT,SHUFFLE,4,50.5
